"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
212,KR,U,KR 920020605 U,146-672-971-349-958,1992-12-18,1992,KR 910006263 U,1991-05-01,KR 910006263 U,1991-05-01,물고기용 절첩식 원형 뜰채,,이규철,이규철,,https://lens.org/146-672-971-349-958,Patent Application,no,0,0,2,2,0,A01K77/005,A01K77/00,,0,0,,,,EXPIRED
213,US,A1,US 2006/0185215 A1,158-207-964-954-289,2006-08-24,2006,US 32487106 A,2006-01-03,US 32487106 A;;US 65517305 P,2005-02-22,Landing net with filled handle,"The present invention relates to a landing net for use in sport fishing and, more specifically, to a landing net having a filled handle providing desirable flotation and strengthening properties.",WORKS CORP M,CORBETT GRANT,M WORKS CORPORATION (2005-12-29),https://lens.org/158-207-964-954-289,Patent Application,yes,36,6,1,1,0,A01K77/00;;A01K77/00,A01K77/00,43/11;;43/7,0,0,,,,DISCONTINUED
214,CN,A,CN 113728985 A,154-429-551-484-379,2021-12-03,2021,CN 202110840505 A,2021-07-24,CN 202110840505 A,2021-07-24,Anti-rotation dip net rod,"The invention relates to the technical field of dip net rods, and discloses an anti-rotation dip net rod, which comprises a dip net and a telescopic rod, wherein the dip net and the telescopic rod are connected through a fixing device; the fixing device comprises a threaded pipe and a threaded rod, the threaded pipe is fixedly connected to the side wall of the dip net, the threaded rod is fixedly connected to one end of the telescopic rod, the threaded pipe is connected with the threaded rod, self-closing hinges are symmetrically connected to the outer pipe wall of the end, away from the dip net, of the threaded pipe, the other ends of the self-closing hinges are rotationally connected with a fixing plate, the fixing plate is arranged on the outer pipe wall of the threaded pipe, the rod wall of the end, close to the telescopic rod, of the threaded rod is fixedly sleeved with a fixing ring, a plurality of clamping grooves are evenly formed in the outer ring wall of the fixing ring at equal intervals, and a clamping block is fixedly connected to the side, close to the fixing ring, of the fixing plate. According to the anti-rotation dip net rod, the threaded pipe and the threaded rod are connected into an integrated structure and cannot rotate relatively, so that the dip net is prevented from being separated from the telescopic rod.",WEIHAI BINCHENG SPORTS GOODS CO LTD,CONG XIAOWEI;;WANG JIANBO,,https://lens.org/154-429-551-484-379,Patent Application,no,10,1,1,1,0,A01K77/00,A01K77/00,,0,0,,,,DISCONTINUED
215,WO,A1,WO 2013/116896 A1,152-053-265-301-943,2013-08-15,2013,AU 2013/000101 W,2013-02-06,AU 2012/900420 A,2012-02-06,A DEVICE FOR RETRIEVING FISH,"The present invention is directed to a device for retrieving a fish caught on a fishing line, the device including a receptacle for passing along the fishing line and then receiving the caught fish, and a retriever for retrieving the receptacle and the fish.",CALLINGHAM JOHN CHARLES,CALLINGHAM JOHN CHARLES,,https://lens.org/152-053-265-301-943,Patent Application,yes,2,1,7,7,0,A01K87/007;;A01K87/007;;A01K74/00;;A01K74/00;;A01K77/00;;A01K77/00;;A01K97/00;;A01K97/00;;A01K97/14;;A01K97/14;;A01K99/00;;A01K99/00,A01K77/00;;A01K97/00,,0,0,,,,PENDING
216,GB,D0,GB 9702907 D0,155-652-511-116-297,1997-04-02,1997,GB 9702907 A,1997-02-13,GB 9702907 A,1997-02-13,Combination landing net,,MILLER PETER S,,,https://lens.org/155-652-511-116-297,Patent Application,no,0,0,2,2,0,A01K77/00,A01K77/00,,0,0,,,,DISCONTINUED
217,US,A,US 3156063 A,159-139-508-645-903,1964-11-10,1964,US 32348063 A,1963-11-13,US 32348063 A,1963-11-13,Combined fish net and tackle box,,NUTE MACE,NUTE MACE,,https://lens.org/159-139-508-645-903,Granted Patent,no,2,2,1,1,0,A01K77/00;;A01K97/06;;A01K97/06;;A01K77/00,A01K77/00;;A01K97/06,,0,0,,,,EXPIRED
218,SE,C1,SE 26333 C1,155-271-275-324-764,1909-02-06,1909,SE 26333D A,,SE 26333T A,,SE 26333 C1,,,,,https://lens.org/155-271-275-324-764,Granted Patent,no,0,0,1,1,0,A01K77/00,,,0,0,,,,EXPIRED
219,FR,A1,FR 2390665 A1,165-000-061-861-722,1978-12-08,1978,FR 7714629 A,1977-05-09,FR 7714629 A,1977-05-09,Bracket esp. for carrying butterfly net - is on belt or strap and has sleeve for shaft,"The bracket consists of a flat plate fitted with two parallel slots(5) at one end. The slots are sized to take a belt or strap(3). The opposite end of the plate has an open spring sleeve(8) joined to it at a convenient angle. The sleeve diameter is of the correct size to take a tool shaft(7) allowing it to be carried by the belt or strap(3). The bracket is made from synthetic plastic material moulded in one piece. The strap(3) has window section with a rectangular frame, the corners of which are rounded.",MANUSUD SARL,,,https://lens.org/165-000-061-861-722,Patent Application,no,0,1,2,2,0,A01K77/00;;A45F5/00;;F16M13/04;;F16M11/041,A01K77/00;;A45F5/00;;F16M13/04,,0,0,,,,EXPIRED
220,KR,Y1,KR 200360849 Y1,157-242-592-932-587,2004-09-07,2004,KR 20040015577 U,2004-06-01,KR 20040015577 U,2004-06-01,KR 200360849 Y1,,,,,https://lens.org/157-242-592-932-587,Unknown,no,0,2,1,1,0,A01K73/06;;A01K77/00,A01K77/00,,0,0,,,,EXPIRED
221,US,A,US 2847790 A,174-425-221-623-10X,1958-08-19,1958,US 53170255 A,1955-08-31,US 53170255 A,1955-08-31,Landing-net,,ROLF TJERNAGEL,ROLF TJERNAGEL,,https://lens.org/174-425-221-623-10X,Granted Patent,no,7,9,1,1,0,A01K77/00;;A01K77/00,A01K77/00,,0,0,,,,EXPIRED
222,US,A,US 524942 A,164-327-421-634-848,1894-08-21,1894,US 524942D A,,,,US 524942 A,,,,,https://lens.org/164-327-421-634-848,Granted Patent,no,0,2,1,1,0,A01K77/00;;A01K77/00,,,0,0,,,,EXPIRED
223,EP,A1,EP 1915052 A1,162-970-920-354-955,2008-04-30,2008,EP 06779127 A,2006-08-15,GB 2006003051 W;;GB 0516949 A,2005-08-18,FISHING NET HOLDER,"A fishing net holder (1) comprises: - a body (3); a first arm (5) mounted to the body (3) and adapted to be mounted to a first pole or rod of a fishing net; a second arm (7) mounted to the body (3) and adapted to be mounted to a second pole or rod of a fishing net, wherein the second arm (7) is pivotable relative to the first arm (5) ; a releasable ratchet (17) for allowing the angle between the first (5) and second (7) arms to increase and preventing the angle between the first (5) and second (7) arms from decreasing; and release means (25) for releasing the ratchet (17) to allow the angle between the first (5) and second (7) arms to be decreased.",HARDY & GREYS LTD,NORRIS CHARLES,,https://lens.org/162-970-920-354-955,Patent Application,yes,0,0,6,6,0,A01K77/00,A01K77/00,,0,0,,,,ACTIVE
224,US,A,US 1513990 A,165-142-697-715-10X,1924-11-04,1924,US 66995723 A,1923-10-22,US 66995723 A,1923-10-22,Collapsible landing net,,RADIUM APPLIANCE COMPANY,HIGGINBOTHAM SAMUEL H;;GODLEY HENRY G,,https://lens.org/165-142-697-715-10X,Granted Patent,no,0,6,1,1,0,A01K77/00;;A01K77/00,A01K77/00,,0,0,,,,EXPIRED
225,US,A1,US 2005/0024872 A1,164-883-509-748-476,2005-02-03,2005,US 62260203 A,2003-07-17,US 62260203 A,2003-07-17,Flashlight holder for fishing net,"A flashlight holder is provided for removably attaching a flashlight to a tubular handle of a handheld fishing net. The flashlight holder has a first resilient clamp assembly that clamps over the tubular handle of the fishing net. The first resilient clamp assembly includes a generally tubular sleeve having an opening along one side that allows the tubular structure to expand and snap over the outer surface of the tubular handle of the fishing net. In one embodiment, the flashlight holder is attached to the flashlight by a second resilient clamp assembly that snaps over the tubular housing of the flashlight. In another embodiment, the flashlight holder is attached to the flashlight by an adhesive or by making the flashlight holder integral with the housing of the flashlight. A safety strap is provided to ensure the flashlight holder does not become detached inadvertently from the handle of the fishing net.",LOVE JACK G.,LOVE JACK G,,https://lens.org/164-883-509-748-476,Patent Application,yes,16,6,2,2,0,A01K75/02;;A01K77/00;;F21V21/0885;;F21V33/008;;A01K77/00;;F21V21/0885;;A01K75/02;;F21V33/008,A01K75/02;;A01K77/00;;F21V21/088;;F21V33/00,362/253,0,0,,,,EXPIRED
226,US,A,US 3815272 A,163-431-729-309-586,1974-06-11,1974,US 32074473 A,1973-01-03,US 32074473 A,1973-01-03,"COLLAPSIBLE, TRIANGULAR NET ASSEMBLY","A collapsible three sided fishing net, having a handle which combines to form a storage cylinder for the net when it is in collapsed condition. Three solid net-supporting arms cooperate to expand from collapsed parallel position to form a triangle, firmly engaged with a handle. The handle itself serves as a storage holder in one embodiment of the invention, and in a second embodiment a secondary, shorter handle integral with the net supporting arms is also provided. The triangular configuration of the net may be varied, in one embodiment of the invention, depending on the function to which the net is put. In collapsed condition one embodiment of the net is compact enough to be stored in an average-sized tackle box.",MARLEAU G,MARLEAU G,,https://lens.org/163-431-729-309-586,Granted Patent,no,3,45,1,1,0,A01K77/00;;A01K77/00,A01K77/00,043-012,0,0,,,,EXPIRED
227,KR,A,KR 20050078602 A,161-029-500-875-151,2005-08-05,2005,KR 20040006787 A,2004-02-02,KR 20040006787 A,2004-02-02,DISCHARGE STRUCTURE FOR REFRIGERATOR HAVING ANNEXATION PRODUCT,,LG ELECTRONICS INC,LEE SOO BEOM,,https://lens.org/161-029-500-875-151,Patent Application,no,0,0,2,11,0,A01K77/00;;G06Q50/02,F25D23/00,,0,0,,,,ACTIVE
228,KR,Y1,KR 200267118 Y1,168-974-333-966-152,2002-03-09,2002,KR 20010028283 U,2001-09-11,KR 20010028283 U,2001-09-11,omitted,"본 고안은 주꾸미 통발과 그물을 함께 사용할 수 있는 양망기에 관한 것이다. 본 고안에 따르면, 혼자서 작업이 가능하며, 소라껍데기 파손을 방지할 수 있도록 고안된 장치로, 선외기를 장치한 소형선(1톤 미만)과 디젤 엔진을 장치한 배에 적용 가능하며, 소형선은 가솔린 엔진(5ps/3600rpm)을 이용하고, 디젤 엔진은 선박의 운행 및 양망기의 구동상태를 절체 및 단속하는 스위치(PTO; Power Take On/off)를 별도로 설치하여 유압펌프를 구동시켜 유압모터에 앵글 플레이트를 부착, 줄을 앵글 플레이트 사이에 끼이게 한 후 회전을 시키면 양망이 가능하고, 엔진 회전수를 조절하여 앵글 플레이트의 회전속도를 조절할 수 있도록 고안된 장치이며 그물 작업을 할 때는 앵글 플레이트 측면에 붙여서 그물을 끌어올릴 수 있는 회전체를 사용할 수 있도록 고안된 장치임.",조형준,조형준,,https://lens.org/168-974-333-966-152,Unknown,no,0,0,1,1,0,A01K73/06;;A01K77/00;;B66F19/00,,,0,0,,,,EXPIRED
229,WO,A1,WO 2018/137967 A1,169-098-467-925-136,2018-08-02,2018,EP 2018050968 W,2018-01-16,DE 102017101755 A,2017-01-30,WIRE MESH AND METHOD FOR PRODUCING A COIL FOR A WIRE MESH,"The invention relates to a wire mesh (10a; 10d; 10e), in particular a safety net, comprising multiple coils (12a, 14a; 12d; 12e) which are braided into one another and at least one coil (12a; 12d; 12e) of which is made of at least one individual wire, a wire bundle, a wire strand, a wire rope, and/or another longitudinal element (16a; 16d; 16e) with at least one wire (18a; 18d; 18e) and comprises at least one first limb (20a; 20d; 20e), at least one second limb (22a; 22d; 22e), and at least one bending point (24a; 24d; 24e) that connects the first limb (20a; 20d; 20e) and the second limb (22a; 22d; 22e). According to the invention, when viewed longitudinally parallel to a longitudinal direction (28a; 28d; 28e) of the coil (12a; 12d; 12e), the bending point (24a; 24d; 24e) comprises at least one bending region (34a; 34d; 34e) with a bending curvature and at least one first transition region (36a; 36d; 36e) which is connected to the first limb (20a; 20d; 20e) and which has a first transition curvature that differs from the bending curvature.",GEOBRUGG AG,WENDELER-GÖGGELMANN CORINNA,,https://lens.org/169-098-467-925-136,Patent Application,yes,4,0,13,13,0,B21F27/04;;E01F7/04;;E04H17/05;;A01K61/60;;A01K77/00;;B21F27/04;;E01F7/045;;E02D17/202;;E04F13/07;;E06B9/52;;E06B2009/524;;F41H11/00;;E04H17/05,E01F7/04;;B21F27/04,,0,0,,,,PENDING
230,DE,U,DE 1679784 U,176-819-185-118-556,1954-07-15,1954,DE H0013706 U,1954-01-16,DE H0013706 U,1954-01-16,HANDSCHLAUFE FUER GROSSRAUMFAHRZEUGE.,,HAPPICH GMBH GEBR,,,https://lens.org/176-819-185-118-556,Limited Patent,no,0,0,1,1,0,A01K77/00,,"20c,46",0,0,,,,EXPIRED
231,KR,A,KR 20150028527 A,178-734-573-398-051,2015-03-16,2015,KR 20130107262 A,2013-09-06,KR 20130107262 A,2013-09-06,SCOOP NET,"The present invention relates to a scoop net which is formed for a weight (110) for making a net (106) sink to be connected to the front edge part of the net (106) connected between the left and right supports (102,104), wherein the weight (110) is totally connected to the front edge part of the net (106) by using a chain-shaped connecting string (108) having multiple metal rings (112) formed longer, thereby removing damages on the net (106) by the weight (110) and removing a gap between the bottom during fishing for capturing even fish living on the bottom such as loach, and preventing environmental pollution by the weight (110).",JEONG WOON HWAN,JEONG WOON HWAN,,https://lens.org/178-734-573-398-051,Patent Application,no,0,0,1,1,0,A01K74/00;;A01K77/00;;A01K75/06,A01K74/00;;A01K77/00,,0,0,,,,DISCONTINUED
232,FR,A,FR 1129424 A,183-636-688-246-391,1957-01-21,1957,FR 1129424D A,1954-12-20,FR 1129424T A,1954-12-20,épervier guidé pour la pêche à la ligne,,,TOR ETIENNE,,https://lens.org/183-636-688-246-391,Granted Patent,no,0,0,1,1,0,A01K77/00,A01K77/00,,0,0,,,,EXPIRED
233,GB,A,GB 625819 A,178-789-809-459-657,1949-07-05,1949,GB 1459846 A,1946-05-14,FR 625819X A,1945-05-31,An angler's landing net,"625,819. Fishing. CHARBONNIER, R. May 14, 1946, Nos. 14598 and 14599. Convention dates, May 31, 1945, and March 27, 1946. [Class 48] The net part 2 of a folding landing net is supported by two arms 1 guided by a stop 9 and hinged to a member 4 sliding on a tube 5 carrying the stop, the member being urged to the open position by a spring 7 and being held in the closed position by a catch 18 located at the end of the tube remote from the stop. The catch is mounted on a rod 6 telescopic within the tube. In the closed position the net is held against the tube by a ring on the net engaging with a catch 21. A spring 11 on the stop holds the member in the open position. In a modification a protective cover for the net is mounted on a wire frame hinged to the rod adjacent the catch 18. Specification 598,315 is referred to.",RENE CHARBONNIER,,,https://lens.org/178-789-809-459-657,Granted Patent,no,0,1,1,1,0,A01K77/00,A01K77/00,,0,0,,,,EXPIRED
234,KR,A,KR 20200139463 A,177-373-549-899-561,2020-12-14,2020,KR 20190066010 A,2019-06-04,KR 20190066010 A,2019-06-04,A Insect picking tool with length adjustment,"The present invention relates to a length-adjustable collector to prevent possible bending or separation while forming a long-unfolded length when used for collecting insects or catching minnows and the like in water. According to the present invention, a locking structure of each hollow tube forming a handle is formed a main body of the hollow tube and, to allow a portion where a small diameter and a large diameter are overlapped by the locking structure to prevent a gap generated in an extended portion, a gap prevention means is disposed on an extended surface of the lower end of a locking means having the small diameter, such that the load concentrated on a connecting portion where a plurality of hollow tubes are connected is distributed to the entire handle and reinforcement is provided at the connecting part, thereby preventing the handle from bending, increasing durability, and enabling quick and accurate collection.",BORAMEA TOYS CO LTD,PARK DEUNG HUI,,https://lens.org/177-373-549-899-561,Patent Application,no,3,0,2,2,0,A01M3/002;;A01K77/005,A01K80/00;;A01M3/00,,0,0,,,,ACTIVE
235,DE,C,DE 476555 C,183-177-313-675-798,1929-05-18,1929,DE H0106402 D,1926-05-04,DE H0106402 D,1926-05-04,Zusammenlegbarer Haescher fuer Angelfischerei,,ALFRED HUESSER;;EMIL HUESSER,,,https://lens.org/183-177-313-675-798,Granted Patent,no,0,2,1,1,0,A01K77/00,A01K77/00,,0,0,,,,EXPIRED
236,US,A,US 823113 A,186-611-802-175-426,1906-06-12,1906,US 1905/0282481 A,1905-10-12,US 1905/0282481 A,1905-10-12,LANDING-NET.,,FRENCH LUKE;;REILLY BARNEY T,FRENCH LUKE;;REILLY BARNEY T,,https://lens.org/186-611-802-175-426,Granted Patent,no,0,8,1,1,0,A01K77/00;;A01K77/00,,,0,0,,,,EXPIRED
237,US,A,US 2129469 A,180-189-382-243-410,1938-09-06,1938,US 10576036 A,1936-10-15,US 10576036 A,1936-10-15,Weighing device,,HEDGES JAMES S,HEDGES JAMES S,,https://lens.org/180-189-382-243-410,Granted Patent,no,0,21,1,1,0,A01K77/00;;A01K77/00;;G01G3/02;;G01G3/02;;G01G19/60;;G01G19/60,G01G3/02;;G01G19/60,,0,0,,,,EXPIRED
238,KR,U,KR 880001644 U,179-198-395-368-860,1988-04-06,1988,KR 860010117 U,1986-07-14,KR 860010117 U,1986-07-14,뜰채 손잡이 축착 장치,,송영수,송영수,,https://lens.org/179-198-395-368-860,Patent Application,no,0,0,2,2,0,A01K77/00,A01K77/00,,0,0,,,,EXPIRED
239,US,A1,US 2023/0270089 A1,188-634-303-777-961,2023-08-31,2023,US 202318141997 A,2023-05-01,US 202318141997 A;;US 202063082098 P,2020-09-23,Fishing Net Support System,"A fishing net support system includes a boat mount configured to be mounted onto a boat hull. A linkage is attached to the boat mount. A receiver can receive a pole of a fishing net. The receiver is mounted on the linkage, such that the linkage allows pivoting between the boat mount and the receiver within a vertical plane.",LENZ MATTHEW JAMES,LENZ MATTHEW JAMES,,https://lens.org/188-634-303-777-961,Patent Application,yes,0,0,3,3,0,A01K75/00;;B63B2017/0054;;B63B3/00;;A01K75/00;;A01K97/10;;A01K77/00,A01K75/00,,0,0,,,,PENDING
240,KR,Y1,KR 200351466 Y1,184-907-582-164-628,2004-05-22,2004,KR 20040006787 U,2004-03-12,KR 20040006787 U,2004-03-12,KR 200351466 Y1,,,,,https://lens.org/184-907-582-164-628,Unknown,no,0,1,1,1,0,A01K77/00;;G06Q50/02,A01K77/00,,0,0,,,,EXPIRED
241,KR,U,KR 980000117 U,186-808-311-162-70X,1998-03-30,1998,KR 19960014761 U,1996-06-03,KR 19960014761 U,1996-06-03,낚시용 뜰체의 자루부분 통기구조,"선택적으로 공기 유통을 제어하여 신축이 용이하게 이루어지고,조절후 현상태가 유지될 수 있도록 함으로써, 뜰체의 사용상에 편리함을 제공할 수 있는 낚시용뜰체의 자루부분 통기구조를 제공할 목적으로: 안테나식으로 길이를 신축시킬 수 있는 자루부분과, 상기 자루부분의 최선단에 배치되어 물고기를 걷어 올릴 수 있도록 그물망으로 이루어지는 주머니 부분으로 이루어지는 낚시용 뜰체에 있어서,상기 자루부분의 최후단 튜브부재의 후단부를 마감 처리하되, 선택적으로 외부의 공기가 내부로 유입시킬 수 있는 공기 유통부를 형성하여 이루어짐을 특징으로 하는 낚시용 뜰체의 자루부분 통기구조를 제공한다.",김판수,김판수,,https://lens.org/186-808-311-162-70X,Patent Application,no,0,0,2,2,0,A01K75/00;;A01K77/005,A01K77/00,,0,0,,,,EXPIRED
242,US,A1,US 2004/0144014 A1,183-162-705-446-407,2004-07-29,2004,US 73087103 A,2003-12-08,US 73087103 A;;US 61646003 A;;US 1548701 A,2001-12-11,Fish net with releasable attachment,"
   A net for a sport fishing net device having a substantially hoop-shaped frame portion includes a bag of permeable net material, having a closed lower end and an open upper end. A selectively releasable elongate fastener extends along the upper end of the bag, and is configured to releasably wrap around and secure the upper end of the bag to the hoop-shaped frame portion. In one embodiment the selectively releasable elongate fastener is a zipper. 
",ABEL JEFF,ABEL JEFF,,https://lens.org/183-162-705-446-407,Patent Application,yes,30,11,2,6,0,A01K77/00;;A01K77/00,A01K77/00,43/11,0,0,,,,DISCONTINUED
243,US,A,US 403680 A,191-905-872-769-726,1889-05-21,1889,US 403680D A,,,,US 403680 A,,,,,https://lens.org/191-905-872-769-726,Granted Patent,no,0,4,1,1,0,A01K77/00;;A01K77/00,,,0,0,,,,EXPIRED
244,GB,A,GB 1249298 A,198-606-916-277-091,1971-10-13,1971,GB 5515967 A,1967-12-05,GB 5515967 A,1967-12-05,IMPROVEMENTS IN LANDING NETS,"1,249,298. Landing nets. N. J. L. CHINN. 4 Dec., 1968 [5 Dec., 1967], No. 55159/67. Heading A1A. A landing net comprises a net mounted on a frame consisting of rods 8 interconnected by a flexible member such as a leather rope 11, the rods being pivotally connected to a sleeve 5 slidable longitudinally of a handle 2 which may be telescopic. A cross-piece 6 secured to the handle is provided with apertures through which the rods 8 pass, the cross-piece functioning as a guide means for varying the angular spacing between the rods 8 during sliding movement of the sleeve 5. Apertured spring means such as spring blade 7 is provided for engagement with a projection 16 on sleeve 5 for holding the sleeve at a position on the handle corresponding to a predetermined angular spacing between the rods 8.",NORMAN JOHN LEVI CHINN,WARBURTON SIDNEY,,https://lens.org/198-606-916-277-091,Granted Patent,no,0,3,1,1,0,A01K77/00,A01K77/00,A1A A14           A14,0,0,,,,EXPIRED
245,WO,A1,WO 2001/003553 A1,192-292-527-517-98X,2001-01-18,2001,US 0017916 W,2000-06-29,US 35083599 A;;US 60712900 A,1999-07-09,SELF-LOCKING PIVOTAL BRACKET WITH PIVOT STOP,"The present invention is a disengageable self-locking pivotal bracket device (10) that can be used as a foldable, pivotal connecting element that can connect two members (12, 14), for example a fish net (62) and handle (60), or two sections of a cane. The device includes an axial/fastener and disengageable locking element for pivotally and releaseably locking the device (10) into and out of at least one extended, engaged position. The device (10) further includes a stop (52) which contacts one of the members to limit pivoting in a first direction.",ADAMS MICHAEL E,ADAMS MICHAEL E,,https://lens.org/192-292-527-517-98X,Patent Application,yes,4,2,6,7,0,A01K77/00;;Y10T403/32409;;Y10T403/32409;;A01K77/00,A01K77/00,,0,0,,,,PENDING
246,FR,A,FR 788277 A,196-703-622-750-367,1935-10-07,1935,FR 788277D A,1935-04-03,FR 788277T A,1935-04-03,Monture d'épuisette,,,GRENOUILLEAU MARCEL,,https://lens.org/196-703-622-750-367,Granted Patent,no,0,1,1,1,0,A01K77/00,A01K77/00,,0,0,,,,EXPIRED
247,KR,Y1,KR 200181768 Y1,192-773-299-811-200,2000-06-01,2000,KR 19980001327 U,1998-02-06,KR 19980001327 U,1998-02-06,VARIABLE FISHING TOOLING CONNECTOR,"본 고안은 일반적으로 낚시용품의 종류가 다양할 뿐 아니라 각각의 길이가 만만치 않아 낚시를 위해 이동시에는 사용자에게 상당한 불편을 주게 되는 문제점이 있기 때문에, 적절한 길이의 작업대와, 상기 작업대의 선단에 압입 고정되고 외주면에 나사가 형성된 고정구와, 상기 고정구의 나사가 결합될 수 있도록 내주면에 나사가 형성된 선단부 및 상기 고정구를 외측에서 감싸주는 후단부로 이루어진 커넥터와, 상기 커넥터의 나사 홈에 삽입될 수 있도록 나사가 형성된 여러 종류의 낚시 도구로 구성됨으로써, 하나의 작업대에 여러 종류의의 낚시 도구를 교환해 가면서 결합시켜 사용할 수 있으므로 이동시 짐이 가벼워지게 하여 낚시를 하는 사람들의 편의성을 증대시킬 수 있는 다용도 낚시용품 연결구에 관한 것이다.",LEE JOONG GI,LEE JOONG-GI,,https://lens.org/192-773-299-811-200,Unknown,no,0,1,2,2,0,A01K97/00;;A01K77/00,A01K97/00,,0,0,,,,EXPIRED
248,KR,A,KR 20210081277 A,198-558-402-413-582,2021-07-01,2021,KR 20200179960 A,2020-12-21,KR 20190172698 A,2019-12-23,Automatic towing device,"The present invention relates to a rope towing device, and more specifically, to an automatic rope towing device capable of pulling a rope in one direction by gripping the rope to tow the rope or releasing the rope depending on a turning position. According to the automatic rope towing device of the present invention, a plurality of first pressing rollers and a plurality of second pressing rollers grip the rope by first and second grip guide protrusions having a protruding circumferential center while moving adjacently, and the plurality of first pressing rollers and the plurality of second pressing rollers release the rope while being separated from each other at positions deviated from the first and second grip guide protrusions, thereby towing the rope in one direction with a simple structure.",HUR JUNG GYU;;SEA DEVICE INDUSTRIAL TECH CO LTD,HUR JUNG GYU;;KIM SANG AM,,https://lens.org/198-558-402-413-582,Patent Application,no,8,1,2,2,0,A01K73/06;;A01K77/00;;B66D1/12;;B66D1/30;;B66D1/60,A01K73/06;;A01K77/00;;B66D1/12;;B66D1/30;;B66D1/60,,0,0,,,,ACTIVE
249,US,A,US 5157854 A,194-988-024-316-447,1992-10-27,1992,US 75575691 A,1991-09-06,US 75575691 A,1991-09-06,Paddle-fish landing net combination,"A paddle-fish landing net combination which includes a hollow paddle-shaped housing having a handle opening in an upper side thereof, and a net opening in its opposite, lower side. An elongated handle extends slidably through the handle opening and has an inner end inside the housing. A fish landing net is attached to the handle inner end and nests within the housing when the handle is fully extended upwardly from the housing. The fish landing net moves into an expanded, fish netting position outside the housing when the handle is slidingly pushed into the housing.",RUMSEY JR JOSEPH F,RUMSEY JR JOSEPH F,,https://lens.org/194-988-024-316-447,Granted Patent,yes,6,24,1,1,0,A01K77/00;;A01K77/00,A01K77/00,43/12;;43/4;;440/101,0,0,,,,EXPIRED
250,WO,A1,WO 2007/020434 A1,004-091-828-878-465,2007-02-22,2007,GB 2006003051 W,2006-08-15,GB 0516949 A,2005-08-18,FISHING NET HOLDER,"A fishing net holder (1) comprises: - a body (3); a first arm (5) mounted to the body (3) and adapted to be mounted to a first pole or rod of a fishing net; a second arm (7) mounted to the body (3) and adapted to be mounted to a second pole or rod of a fishing net, wherein the second arm (7) is pivotable relative to the first arm (5) ; a releasable ratchet (17) for allowing the angle between the first (5) and second (7) arms to increase and preventing the angle between the first (5) and second (7) arms from decreasing; and release means (25) for releasing the ratchet (17) to allow the angle between the first (5) and second (7) arms to be decreased.",HARDY & GREYS LTD;;NORRIS CHARLES,NORRIS CHARLES,,https://lens.org/004-091-828-878-465,Patent Application,yes,3,1,6,6,0,A01K77/00,A01K77/00,,0,0,,,,PENDING
251,US,A,US 2772502 A,007-920-575-565-667,1956-12-04,1956,US 55337755 A,1955-12-15,US 55337755 A,1955-12-15,Fisherman's adjustable net,,NORRIS LEONARD H,NORRIS LEONARD H,,https://lens.org/007-920-575-565-667,Granted Patent,no,1,6,1,1,0,A01K77/00;;A01K77/00,A01K77/00,,0,0,,,,EXPIRED
252,GB,A,GB 990912 A,004-476-657-499-731,1965-05-05,1965,GB 4322064 D,1960-09-24,GB 3288560 A,1960-09-24,Improvements relating to locking devices,"990,912. Blade spring catches. A. FARR & SONS Ltd., and R. E. HAINES. July 14, 1961 [Sept. 24, 1960], No. 43220/64. Divided out of 990,911. Heading E2A. [Also in Division A1] A locking device for releasably securing together telescopically overlapping members, comprises a resilient arm 20 carrying at one end a projection 23 adapted to extend through superposed holes 24, 25 in the overlapping members, the arm being held and assembled relational with the overlapping members by a sleeve 21 integral with the arm 20 and embracing one of the overlapping members, the sleeve and the overlapping member having complementary keying formations 22 interfitting to prevent rotation of the sleeve on the overlapping member. As shown in which the invention is applied to the rod of a fisherman's landing net, the overlapping members and the sleeve 21 are of polygonal cross-section.",RAYMOND ERIC HAINES;;FARR AND SONS LTD A,,,https://lens.org/004-476-657-499-731,Granted Patent,no,0,4,2,2,0,A01K77/00,A01K77/00,E2A ACAR          ACAR/C;;E2A A106          ACAR/C;;E2A A164          ACAR/C;;E2A A414          ACAR/C;;U1S S1572;;U1S S1573,0,0,,,,EXPIRED
253,DE,U1,DE 9417936 U1,005-277-521-704-868,1995-01-19,1995,DE 9417936 U,1994-11-09,DE 9417936 U,1994-11-09,Verstellbarer Klappkescher,,HOPFAUF ALBERT,,,https://lens.org/005-277-521-704-868,Limited Patent,no,0,3,1,1,0,A01K77/00,A01K77/00,,0,0,,,,EXPIRED
254,KR,Y1,KR 200350558 Y1,007-169-414-573-502,2004-05-17,2004,KR 20040004436 U,2004-02-20,KR 20040004436 U,2004-02-20,KR 200350558 Y1,,,,,https://lens.org/007-169-414-573-502,Unknown,no,0,1,1,1,0,A01K77/00;;A01K73/06,A01K77/00,,0,0,,,,EXPIRED
